Projeto|Identificador|Responsavel p/ Metadados|Data de preenchimento|MI|Índice de nomenclatura|Nome|Data de conclusão|Tipo da data de conclusão|Edição|Data da Edição|Tipo de recurso|Resumo|Propósito|Créditos|Escala|westBoundLongitude|southBoundLatitude|eastBoundLongitude|northBoundLatitude|Ponto de contato|EPSG|Datum Vertical|Catálogo de feições (Versão ET-EDGV)|PDF Carregado
Conversão do Mapeamento Sistematico do SCN para Vetorial|710e6581-105e-44be-4705-7b4a9ed9706b|2º Centro de Geoinformação|14/09/2016|||BRASÍLIA ESPECIAL|10/01/1971|criacao||1971-01-10|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-47.95833333|-15.87500000|-47.78333333|-15.69861111|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Conversão do Mapeamento Sistematico do SCN para Vetorial|e106f1f2-1121-335c-ae59-10d97b8af4bc|GABRIEL DRESCH / RS170699;|08/08/2016|0878|SB-23-V-C-III|GROTÃO - SB-23-V-C-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-5.500|-46.500|-5.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|550c398a-df43-55fe-828c-cbad5afffcf6|GABRIEL DRESCH / RS170699;|08/08/2016|0877|SB-23-V-C-II|JOÃO LISBOA - SB-23-V-C-II - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.500|-5.500|-47.000|-5.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|b73267bd-c8e3-142f-0e4e-be0b9573eb7b|GABRIEL DRESCH / RS170699;|08/08/2016|1190|SB-23-Y-C-III|RIACHÃO - SB-23-Y-C-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-7.500|-46.500|-7.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|b2c44267-15d7-8907-8521-9cd04a96e27d|GABRIEL DRESCH / RS170699;|08/08/2016|1111|SB-23-Y-A-VI|SÃO PEDRO DOS CRENTES - SB-23-Y-A-VI - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-7.000|-46.500|-6.500|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Conversão do Mapeamento Sistematico do SCN para Vetorial|8f71a07e-b970-9f8c-b9b2-dd86cbebbd05|GABRIEL DRESCH / RS170699;|08/08/2016|1032|SB-23-Y-A-III|SERRA DA CINTA - SB-23-Y-A-III - 100.000|08/08/2016|criacao|1ª Edição|2016-08-08|SCN Carta Topografica Vetorial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||100000|-47.000|-6.500|-46.500|-6.000|2º Centro de Geoinformação|4674|Datum de Imbituba - SC|2 ET-EDGV - Esp. Tec. para Estruturação de Dados Geoespaciais Vetoriais|0
Copa das Confederações|bdbe252a-9bdc-ce15-bfc6-7132605edf4e|Emerson Magnus de A. Xavier /|05/06/2013|||BRASILIA_CARTAESPTOPO_25K_JUN2013_CCONF|04/06/2013|criacao|1ª Edição|2013-06-04|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||25000|-47.97621|-15.88931|-47.8202|-15.72031||4326|||1
Copa do Mundo 2014|233136b3-21a4-78af-746c-16533d283e4e|CARLOS ALBERTO PIRES DE CASTRO FILHO / ;|21/05/2014|||BELOHORIZONTE_CARTAESPTOPO_10K_ABR2014_CMUNDO|30/04/2014|criacao|1|2014-04-30|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||10000|-44.00664188838786117|-19.87700088203730786|-43.9452656460952511|-19.8303922899489784|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
Copa do Mundo 2014|2a35d384-9058-21e4-20b4-0242fc03436d|CARLOS ALBERTO PIRES DE CASTRO FILHO / ;|04/06/2014|||BRASILIA_CARTAESPTOPO_10K_MAI2013_CMUNDO|20/05/2013|criacao|primeira|2013-05-20|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||10000|-47.91841|-15.81832|-47.85600|-15.75071|2º Centro de Geoinformação|4326|||1
Copa do Mundo 2014|fafd9ad2-1944-cc44-1ffa-6ecce3b8a683|CARLOS ALBERTO PIRES DE CASTRO FILHO / 21901/D-DF;|01/10/2015|||BELOHORIZONTE_CARTAESPTOPO_2K_OUT2015_CMUNDO|01/10/2015|criacao|1ª Edição|2015-10-01|Nao SCN Carta Topografica Especial Matricial|Independente de qualquer outra aplicação secundária, este conjunto de dados destina-se ao USO como dado fundamental de referências. Fornece o conjunto de dados das categorias previstas na EDGV. Limitado ao enquadramento previsto no índice de nomenclatura.|||2000|-43.97642232598465029|-19.8699599891328802|-43.96414472849730259|-19.86063995709047347|2º Centro de Geoinformação|4674|Datum de Imbituba - SC||1
